alpha,macro_f1,is_degenerate_alpha,is_boundary,max_condition_number
0.0,0.6995369195039162,False,True,1606610.2786334634
0.05,0.6995369195039162,False,False,1610216.8517370208
0.1,0.6995369195039162,False,False,1616744.7556954355
0.15,0.6995369195039162,False,False,1626623.1495015556
0.2,0.712594533724321,False,False,1641320.0020190023
0.25,0.712594533724321,False,False,1663168.555698043
0.3,0.7209479087443628,False,False,1695200.2761020015
0.35,0.7445202000515012,False,False,1741225.1851200252
0.4,0.7445202000515012,False,False,1806330.8741133588
0.45,0.7332298854885488,False,False,1897998.653128087
0.5,0.6128665371867678,True,False,2028340.2066836483
0.55,0.7378823934136945,False,False,2218817.6140162796
0.6,0.7255819778406413,False,False,2511080.1085403175
0.65,0.7166429636384691,False,False,2993462.8221293367
0.7,0.7033750121686547,False,False,4333760.658178684
0.75,0.6885945364801839,False,False,15279113.518453578
0.8,0.6885945364801839,False,False,63070722.05187024
0.85,0.6899656632329899,False,False,299099211.9093874
0.9,0.678178322033884,False,False,1610735678.1103556
0.95,0.678178322033884,False,False,9778046497.835377
1.0,0.6826380603224692,False,True,66596192022.944664
