operation_id,source,is_real_corpus,quality_label,composite_quality_score,generating_element_rank_score,hybrid_score
mc_random_perm_0015,monte_carlo_random_permutation,False,acceptable,0.7705691307046668,-5.67704845770949e-07,0.80357758343503
mc_borderline_0070,monte_carlo_borderline_operation,False,acceptable,0.7637127538031112,-5.760141233861858e-07,0.7981514622477892
mc_random_perm_0189,monte_carlo_random_permutation,False,acceptable,0.768672028355777,-6.446509170060007e-07,0.7964466017339509
mc_borderline_0038,monte_carlo_borderline_operation,False,acceptable,0.8020053616891103,-9.591743272058523e-07,0.7960596530150539
mc_random_perm_0150,monte_carlo_random_permutation,False,acceptable,0.788292607885999,-8.326983584574013e-07,0.795999111222583
mc_random_perm_0075,monte_carlo_random_permutation,False,acceptable,0.768672028355777,-6.513601509195063e-07,0.7959406142124446
mc_borderline_0004,monte_carlo_borderline_operation,False,acceptable,0.788292607885999,-9.594370331901664e-07,0.7864409129642186
mc_borderline_0081,monte_carlo_borderline_operation,False,acceptable,0.768672028355777,-8.173486587635539e-07,0.783422327510072
mc_random_perm_0101,monte_carlo_random_permutation,False,acceptable,0.7637127538031112,-7.801748610239782e-07,0.7827543562654946
mc_random_perm_0178,monte_carlo_random_permutation,False,acceptable,0.7549592745526658,-7.001721413516011e-07,0.782660452839096
mc_borderline_0088,monte_carlo_borderline_operation,False,acceptable,0.7372357973713336,-5.51464974346521e-07,0.7814690057738887
mc_random_perm_0188,monte_carlo_random_permutation,False,acceptable,0.7353386950224436,-5.420907841756418e-07,0.780848003555958
mc_random_perm_0110,monte_carlo_random_permutation,False,acceptable,0.7549592745526656,-7.3236687586543e-07,0.7802324358505373
mc_random_perm_0094,monte_carlo_random_permutation,False,acceptable,0.7372357973713335,-5.737003152244437e-07,0.7797920922595123
mc_random_perm_0030,monte_carlo_random_permutation,False,acceptable,0.7372357973713336,-6.201016614286876e-07,0.7762926611078902
mc_random_perm_0093,monte_carlo_random_permutation,False,acceptable,0.7372357973713335,-6.459990217041024e-07,0.7743395705899195
mc_borderline_0005,monte_carlo_borderline_operation,False,acceptable,0.7705691307046668,-9.591743272058523e-07,0.7740542913259434
mc_borderline_0089,monte_carlo_borderline_operation,False,acceptable,0.7235230435682223,-5.282550564112229e-07,0.7736204909012852
mc_borderline_0027,monte_carlo_borderline_operation,False,acceptable,0.7951489847875546,-1.202687855634454e-06,0.7728952300408919
mc_random_perm_0126,monte_carlo_random_permutation,False,acceptable,0.7303794204697779,-6.2260675287846e-07,0.7713042718301468
mc_borderline_0015,monte_carlo_borderline_operation,False,acceptable,0.7637127538031112,-9.416051519273627e-07,0.7705798347264816
mc_borderline_0050,monte_carlo_borderline_operation,False,acceptable,0.7549592745526658,-8.889529749818808e-07,0.7684232467216878
mc_random_perm_0006,monte_carlo_random_permutation,False,acceptable,0.7039024640380003,-4.26535769161835e-07,0.7675574066817641
mc_borderline_0087,monte_carlo_borderline_operation,False,acceptable,0.7549592745526658,-9.154881802707302e-07,0.7664220521099245
mc_random_perm_0224,monte_carlo_random_permutation,False,acceptable,0.7618156514542213,-1.0058969509645631e-06,0.7644031950424499
mc_random_perm_0092,monte_carlo_random_permutation,False,acceptable,0.7618156514542214,-1.0303614149883641e-06,0.7625581686689522
mc_borderline_0063,monte_carlo_borderline_operation,False,acceptable,0.7686720283557771,-1.1078183139937177e-06,0.7615160975563284
mc_random_perm_0033,monte_carlo_random_permutation,False,acceptable,0.7372357973713336,-8.2978702347055e-07,0.7604789068099299
mc_random_perm_0204,monte_carlo_random_permutation,False,acceptable,0.7686720283557771,-1.1277262371162498e-06,0.7600147099450199
mc_random_perm_0248,monte_carlo_random_permutation,False,acceptable,0.7372357973713335,-8.454128974102032e-07,0.7593004567323165
mc_random_perm_0046,monte_carlo_random_permutation,False,acceptable,0.7166666666666666,-6.657020259490009e-07,0.7584552457676572
mc_random_perm_0197,monte_carlo_random_permutation,False,acceptable,0.7216259412193324,-7.23338622922955e-07,0.7575799825384981
mc_borderline_0066,monte_carlo_borderline_operation,False,acceptable,0.730379420469778,-8.314271126717845e-07,0.7555557530493079
mc_borderline_0028,monte_carlo_borderline_operation,False,acceptable,0.6970460871364446,-5.388601515555315e-07,0.754286821321031
mc_random_perm_0232,monte_carlo_random_permutation,False,acceptable,0.6970460871364446,-5.420907841756418e-07,0.7540431780357586
mc_random_perm_0177,monte_carlo_random_permutation,False,acceptable,0.7235230435682223,-7.890244825440423e-07,0.7539541508519438
mc_random_perm_0145,monte_carlo_random_permutation,False,acceptable,0.730379420469778,-8.554019182744672e-07,0.7537476550426072
