seed,label_noise,feature_noise,macro_f1,alpha_opt
20260617,0.0,none,1.0,0.0
20260617,0.0,gaussian,0.9345675071816151,0.65
20260617,0.0,heavy_tailed,0.9550010975342065,0.65
20260617,0.05,none,0.9212613473483039,0.6
20260617,0.05,gaussian,0.9214340198321892,0.65
20260617,0.05,heavy_tailed,0.8610034870205346,0.65
20260617,0.1,none,0.8475960959151705,0.55
20260617,0.1,gaussian,0.8374774774774775,0.7
20260617,0.1,heavy_tailed,0.7967302715906068,0.6
20260617,0.2,none,0.7744019138755981,0.45
20260617,0.2,gaussian,0.6825829038218418,0.25
20260617,0.2,heavy_tailed,0.7194489347841821,0.7
20260618,0.0,none,1.0,0.0
20260618,0.0,gaussian,0.949921829196795,0.65
20260618,0.0,heavy_tailed,0.969953097518077,0.65
20260618,0.05,none,0.9171457638346701,0.45
20260618,0.05,gaussian,0.8950280264977797,0.6
20260618,0.05,heavy_tailed,0.8560483870967741,0.15
20260618,0.1,none,0.8312185199535065,0.55
20260618,0.1,gaussian,0.8323017408123792,0.75
20260618,0.1,heavy_tailed,0.7879753985188904,0.7
20260618,0.2,none,0.712167725660979,0.7
20260618,0.2,gaussian,0.6915322580645162,0.0
20260618,0.2,heavy_tailed,0.6245014827691994,1.0
20260619,0.0,none,1.0,0.0
20260619,0.0,gaussian,0.949921829196795,0.7
20260619,0.0,heavy_tailed,0.9345675071816151,0.6
20260619,0.05,none,0.9108695652173913,0.9
20260619,0.05,gaussian,0.8669075579644685,0.7
20260619,0.05,heavy_tailed,0.8365079365079365,0.1
20260619,0.1,none,0.8601097178683386,0.8
20260619,0.1,gaussian,0.7981069353160606,0.75
20260619,0.1,heavy_tailed,0.8474195961106955,0.65
20260619,0.2,none,0.7076867030965391,0.85
20260619,0.2,gaussian,0.7085235351343261,0.6
20260619,0.2,heavy_tailed,0.6535026414915543,0.1
20260620,0.0,none,1.0,0.0
20260620,0.0,gaussian,0.929890560875513,0.65
20260620,0.0,heavy_tailed,0.9392652577523207,0.65
20260620,0.05,none,0.930834059866318,0.55
20260620,0.05,gaussian,0.8604787493893502,0.65
20260620,0.05,heavy_tailed,0.8013565891472869,0.65
20260620,0.1,none,0.8862683311113804,0.55
20260620,0.1,gaussian,0.8143401795597098,0.3
20260620,0.1,heavy_tailed,0.7394636015325671,0.7
20260620,0.2,none,0.7571900047147573,0.1
20260620,0.2,gaussian,0.6883936396644548,0.6
20260620,0.2,heavy_tailed,0.5130683852488364,0.65
20260621,0.0,none,1.0,0.0
20260621,0.0,gaussian,0.9651063829787233,0.7
20260621,0.0,heavy_tailed,0.940093512565751,0.65
20260621,0.05,none,0.9015937019969278,0.6
20260621,0.05,gaussian,0.8191176470588236,0.7
20260621,0.05,heavy_tailed,0.8380952380952381,0.65
20260621,0.1,none,0.7856805069516694,0.0
20260621,0.1,gaussian,0.7981069353160606,0.7
20260621,0.1,heavy_tailed,0.7695254936634246,0.3
20260621,0.2,none,0.7044905842588122,0.45
20260621,0.2,gaussian,0.6792325654172985,0.2
20260621,0.2,heavy_tailed,0.6304800172203486,0.6
20260622,0.0,none,1.0,0.0
20260622,0.0,gaussian,0.9602867105772956,0.75
20260622,0.0,heavy_tailed,0.9448237050086863,0.7
20260622,0.05,none,0.9112639476721816,0.55
20260622,0.05,gaussian,0.85632058287796,0.2
20260622,0.05,heavy_tailed,0.8202159913803904,0.6
